X,Z
-97.1703220576987,-122.4075573405201
-97.57618668026534,-123.21234986859491
-98.05645540742931,-123.9933812188091
-98.4496824652831,-124.80202757480646
-98.77159087798208,-125.64202059232284
-99.18639773942583,-126.455817398488
-99.6559819393496,-127.24661952203991
-100.14788922983902,-128.03204579429803
-100.42908158743903,-128.87652052225005
-100.49772748892713,-129.7307920128506
-100.98661332826396,-130.5108480089943
-101.40785349543198,-131.31785103442198
-101.87906745078627,-132.10954772899595
-102.17036618945058,-132.9241735865075
-102.41563721368148,-133.73911156309072
-102.48847792499686,-134.59248977731013
-102.75510806227018,-135.4875001103967
-102.9566824291556,-136.3564381702403
-103.29530848503333,-137.196238950035
-103.44140653686115,-138.0370936452161
-102.87869877408501,-138.61826638585782
-103.15861015030136,-139.4530691066472
-103.06095626235127,-140.2263404369779
-103.42206529412388,-141.07149826436444
-103.00924325134478,-141.76189238914645
-103.29967056532014,-142.59164980165778
-103.47380066520674,-143.53372215062186
-103.2283512814256,-144.15757931529484
-103.46632858314739,-145.0256871159543
-102.87043390896184,-145.7103777897543
-103.01986862300745,-146.6066666668854
-103.21117131349584,-147.5283980287539
-103.44794778725787,-148.4428056747476
-103.6401331792261,-149.3877837483868
-103.92330424270787,-150.2671893047988
-104.19907703092758,-151.18645227603187
-104.40524860481435,-152.10592000143447
-104.56295927225226,-153.01715847892476
-104.66731858825914,-153.97228842082683
-104.86997068805029,-154.9096009292817
-105.11294005386262,-155.82459657581177
-104.65371164805873,-156.44678392158622
-104.86377286921487,-157.38535091942222
-105.07578384121861,-158.32062363876574
-105.32615687059946,-159.25382027406124
-105.48524910281238,-160.1940291841177
-105.6383214072075,-161.13589466283844
-105.94182530956527,-162.04939286792882
-106.09337086791719,-163.00844008838263
-106.23733160187716,-163.95650569690645
-106.4146486498234,-164.89799760923026
-106.55930788328912,-165.8369042630386
-106.71247587863763,-166.77235436917198
-106.8730452906455,-167.71126759707704
-107.0457348302926,-168.65042585330917
-107.14803276757229,-169.59823477296695
-107.28032364931269,-170.5453692356945
-107.4047147746415,-171.47993819913324
-107.55159223304761,-172.41958718445844
-107.67336374340728,-173.34538681678515
-107.87375976356148,-174.2557384069087
-108.04096909665529,-175.19171772207187
-108.17304688457934,-176.1128498971934
-108.32832045870917,-177.0422014805408
-108.47451770053858,-177.9658832662398
-108.64690074921934,-178.90211625239004
-108.83843745977589,-179.83185598238632
-109.00237782591749,-180.7709712194602
-109.14232174053787,-181.6919089643739
